"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.03.2025","4.553,0","4.510,0","4.640,0","4.474,0","1,32M","0,88%"
"06.03.2025","4.513,5","4.498,0","4.577,5","4.480,0","561,49K","0,37%"
"05.03.2025","4.497,0","4.586,0","4.630,0","4.470,0","925,38K","-1,94%"
"04.03.2025","4.586,0","4.368,0","4.619,5","4.356,0","1,43M","5,49%"
"03.03.2025","4.347,5","4.450,0","4.455,0","4.260,0","1,16M","-1,71%"
"28.02.2025","4.423,0","4.377,0","4.485,0","4.300,0","1,39M","1,05%"
"27.02.2025","4.377,0","4.440,0","4.519,5","4.324,0","1,24M","-1,42%"
"26.02.2025","4.440,0","4.624,5","4.638,0","4.412,0","1,56M","-3,97%"
"25.02.2025","4.623,5","4.671,0","4.689,5","4.620,0","715,78K","-1,02%"
"24.02.2025","4.671,0","4.667,0","4.698,0","4.608,5","736,99K","0,09%"
"21.02.2025","4.667,0","4.680,0","4.697,5","4.590,0","685,05K","0,39%"
"20.02.2025","4.649,0","4.660,0","4.734,0","4.610,5","1,69M","0,06%"
"19.02.2025","4.646,0","4.550,0","4.669,0","4.527,0","1,13M","2,11%"
"18.02.2025","4.550,0","4.718,5","4.749,5","4.511,0","1,39M","-3,38%"
"17.02.2025","4.709,0","4.590,5","4.718,0","4.585,0","1,21M","3,52%"
"14.02.2025","4.549,0","4.794,5","4.794,5","4.440,0","1,68M","1,27%"
"13.02.2025","4.492,0","4.560,0","4.598,5","4.454,5","1,67M","-0,61%"
"12.02.2025","4.519,5","4.294,5","4.568,0","4.264,0","2,26M","5,42%"
"11.02.2025","4.287,0","4.217,0","4.293,0","4.212,0","697,37K","1,66%"
"10.02.2025","4.217,0","4.219,0","4.287,0","4.185,5","988,27K","0,40%"
"07.02.2025","4.200,0","4.221,5","4.245,5","4.176,5","896,63K","-0,45%"
"06.02.2025","4.219,0","4.106,0","4.225,0","4.095,0","1,69M","2,76%"
"05.02.2025","4.105,5","4.010,0","4.120,0","3.993,5","668,98K","2,43%"
"04.02.2025","4.008,0","4.061,0","4.086,0","3.978,0","423,54K","-1,10%"
"03.02.2025","4.052,5","4.081,5","4.089,5","4.005,0","511,69K","-0,97%"
"31.01.2025","4.092,0","4.117,0","4.154,0","4.057,0","758,12K","-0,61%"
"30.01.2025","4.117,0","4.071,0","4.135,0","4.071,0","465,95K","1,07%"
"29.01.2025","4.073,5","4.040,0","4.147,0","4.029,0","931,99K","0,83%"
"28.01.2025","4.040,0","3.942,0","4.056,5","3.923,5","714,10K","2,41%"
"27.01.2025","3.945,0","4.035,0","4.035,0","3.940,5","455,85K","-2,28%"
"24.01.2025","4.037,0","4.052,0","4.060,0","3.996,0","396,24K","-0,32%"
"23.01.2025","4.050,0","4.040,0","4.050,0","3.981,0","585,30K","0,31%"
"22.01.2025","4.037,5","4.075,5","4.095,5","4.016,0","722,17K","-0,80%"
"21.01.2025","4.070,0","4.035,0","4.080,0","3.958,5","838,24K","1,24%"
"20.01.2025","4.020,0","4.150,5","4.164,0","4.014,0","1,08M","-2,26%"
"17.01.2025","4.113,0","4.066,0","4.124,0","4.030,0","715,04K","1,17%"
"16.01.2025","4.065,5","4.121,5","4.130,0","4.054,5","973,58K","-1,19%"
"15.01.2025","4.114,5","4.091,0","4.127,5","4.021,5","1,13M","0,76%"
"14.01.2025","4.083,5","4.013,0","4.089,0","3.980,0","895,83K","1,73%"
"13.01.2025","4.014,0","3.952,5","4.080,5","3.952,0","1,37M","2,03%"
"10.01.2025","3.934,0","3.835,0","3.950,0","3.801,0","953,68K","3,21%"
"09.01.2025","3.811,5","3.942,0","3.942,0","3.800,0","591,92K","-2,92%"
"08.01.2025","3.926,0","3.891,5","3.934,0","3.870,5","292,71K","0,89%"
"06.01.2025","3.891,5","3.849,0","3.894,5","3.795,0","403,75K","0,49%"
"03.01.2025","3.872,5","4.019,0","4.027,5","3.863,0","906,07K","-3,04%"
"30.12.2024","3.994,0","3.939,0","3.998,5","3.924,0","615,78K","1,67%"
"28.12.2024","3.928,5","3.853,0","3.930,0","3.849,0","674,21K","2,09%"
"27.12.2024","3.848,0","3.794,0","3.856,0","3.780,5","831,85K","1,66%"
"26.12.2024","3.785,0","3.799,0","3.843,5","3.730,0","1,43M","-0,13%"
"25.12.2024","3.790,0","3.688,0","3.800,0","3.660,5","1,74M","2,36%"
"24.12.2024","3.702,5","3.807,5","3.807,5","3.680,5","1,53M","-2,57%"
"23.12.2024","3.800,0","3.736,5","3.974,0","3.700,0","2,52M","3,16%"
"20.12.2024","3.683,5","3.341,0","3.732,5","3.320,5","3,33M","10,32%"
"19.12.2024","3.339,0","3.265,5","3.359,0","3.245,5","1,49M","2,58%"
"18.12.2024","3.255,0","3.250,0","3.279,5","3.191,0","972,34K","0,20%"
"17.12.2024","3.248,5","3.232,5","3.288,5","3.205,5","822,07K","0,49%"
"16.12.2024","3.232,5","3.303,0","3.322,0","3.211,0","949,42K","-2,66%"
"13.12.2024","3.321,0","3.284,0","3.333,0","3.282,5","510,91K","1,13%"
"12.12.2024","3.284,0","3.398,5","3.414,0","3.283,0","769,35K","-3,33%"
"11.12.2024","3.397,0","3.385,5","3.399,5","3.331,5","787,42K","0,52%"
"10.12.2024","3.379,5","3.478,0","3.483,0","3.375,0","912,04K","-2,50%"
"09.12.2024","3.466,0","3.400,0","3.489,5","3.386,0","1,05M","2,67%"
"06.12.2024","3.376,0","3.381,0","3.417,5","3.330,5","902,95K","-0,07%"
"05.12.2024","3.378,5","3.256,0","3.384,0","3.231,0","1,40M","3,89%"
"04.12.2024","3.252,0","3.371,0","3.405,5","3.218,0","1,24M","-3,79%"
"03.12.2024","3.380,0","3.443,0","3.443,0","3.338,0","984,84K","-1,57%"
