epoch,step,train_loss,val_loss
0,32,,0.07469023019075394
1,49,0.05259449779987335,
1,65,,0.0423523411154747
2,98,,0.08453324437141418
3,99,0.0024339305236935616,
3,131,,0.05324980244040489
4,149,0.01002401765435934,
4,164,,0.04538295790553093
5,197,,0.02845904603600502
6,199,0.023814227432012558,
6,230,,0.019903801381587982
7,249,0.010590467602014542,
7,263,,0.016363002359867096
8,296,,0.013480743393301964
9,299,0.02516530640423298,
9,329,,0.01064835675060749
10,349,0.02156064473092556,
10,362,,0.008524439297616482
11,395,,0.006906537804752588
12,399,0.030631160363554955,
12,428,,0.005494323559105396
13,449,0.010317952372133732,
13,461,,0.004282824229449034
14,494,,0.00329765398055315
15,499,0.01301693543791771,
15,527,,0.0024945789482444525
16,549,0.0056836227886378765,
16,560,,0.0018360349349677563
17,593,,0.0013110315194353461
18,599,0.012838508002460003,
18,626,,0.0009100172319449484
19,649,0.00737345777451992,
19,659,,0.0006191115244291723
20,692,,0.00042426359141245484
21,699,0.00442362017929554,
21,725,,0.0003092682163696736
22,749,0.002022317610681057,
22,758,,0.0002541920985095203
23,791,,0.0002378897333983332
24,799,0.0034347742330282927,
24,824,,0.00024184994981624186
25,849,0.0001806825603125617,
25,857,,0.00025286542950198054
26,890,,0.0002632740361150354
27,899,0.0011103723663836718,
27,923,,0.00026958572561852634
28,949,5.719691762351431e-05,
28,956,,0.00027087097987532616
29,989,,0.0002675662690307945
